id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P21-91,12-07-2021,"Aguacate, Mayabeque",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Demandan la necesidad de un cambio y la situación de precariedad en que se encuentra el país, donde no hay medicamentos, las personas se están muriendo de hambre y solo hay tiendas en divisa. En un primer momento eran unas pocas personas, pero poco a poco se fueron sumando más personas a la protesta.",Estado cubano,"""Patria y Vida"", ""Aguacate tiene hambre""","Se reunieron varias personas de la Seguridad del Estado (en su mayoría vestidas de civiles) con intenciones de establecer un diálogo para finalizar la protesta. Estos alegaron que estaban instigando a la violencia con el ""show"" que el pueblo estaba haciendo y que la revolución llevaba 62 años y nadie la iba a tumbar.",https://www.facebook.com/abiel.tirse.39/videos/967880673947192/
P21-92,12-07-2021,"Parque Güines, Mayabeque",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Demandan la necesidad de un cambio.,Estado cubano,NULL,"En una de las calles del Parque de Güines se plantó un cordón policial y tropas especiales. Varios policías vestidos de civil avanzaron hacia uno de los portales de la esquina del parque y arremetieron contra la población, golpeándola. Muchos de estos amenazaron a la población con armas de fuego en las manos.",https://www.google.com/maps/d/u/0/viewer?mid=1AQAArlWutvq3eqA2nK_WObSujttknlxZ&hl=en_US&ll=20.209753700000014%2C-75.99442329999998&z=8
P21-93,12-07-2021,"Palma Soriano, Santiago de Cuba",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Cientos de cubanos salieron a las calles para demandar la falta de electricidad, de comida, de medicamentos y de libertad del pueblo.",Estado cubano,"Se gritaron consignas como: ""Libertad"", ""Que se vayan"", ""Abajo el comunismo"", ""Abajo el hambre"", ""Abajo la dictadura"", ""Abajo, cojones"", ""Patria y Vida"", ""Sí se puede"", ""No más mentiras"", ""Díaz-Canel singao"", ""Ladrones"", ""Arriba el pueblo de Cuba"". También cantaron el Himno Nacional.",La policía comenzó a bloquear la Carretera Central.,https://www.google.com/maps/d/u/0/viewer?mid=1AQAArlWutvq3eqA2nK_WObSujttknlxZ&hl=en_US&ll=20.209753700000014%2C-75.99442329999998&z=8
P21-94,12-07-2021,"Surgidero de Batabanó, Mayabeque",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Demanda la libertad del pueblo cubano.,Estado cubano,"""Libertad"", ""Díaz-Canel singao"", ""Abajo Díaz-Canel"", ""Patria y Vida"", cantaron el Himno Nacional.",Se observó un grupo de oficialistas que gritaban consignas revolucionarias. Despliegue policial y tropas especiales para reprimir a los manifestantes.,https://www.google.com/maps/d/u/0/viewer?mid=1AQAArlWutvq3eqA2nK_WObSujttknlxZ&hl=en_US&ll=22.687516099999996%2C-82.29435889999999&z=18
P21-95,12-07-2021,"Vegas, Nueva Paz, Mayabeque",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Demandaban la libertad del pueblo cubano.,Estado cubano,"""Patria y Vida"", ""Libertad""","Las fuerzas policiales atacaron de manera agresiva a los manifestantes, golpeándolos y arrastrándolos para así poder arrestarlos.",https://www.google.com/maps/d/u/0/viewer?mid=1AQAArlWutvq3eqA2nK_WObSujttknlxZ&hl=en_US&ll=22.790299999999995%2C-81.81860000000002&z=17
P21-96,12-07-2021,"Marianao, La Habana",Marcha/Cacerolazos,Marcha,Cacerolazos,Ciudadanos/pueblo,Demandan la libertad del pueblo cubano.,Estado cubano,"""Cuba quiere libertad""",NULL,https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
,12-07-2021,Camagüey,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Grupo numeroso grita consignas frente a fuerzas del gobierno.,Gobierno municipal,"Gritan ""Díaz-Canel singao""","Las fuerzas oficiales atacaron de manera agresiva a los manifestantes, golpeándolos y arrastrándolos para así poder arrestarlos.",https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
P21-97,12-07-2021,"El Condado, Villa Clara",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Personas del lugar reportan protestas pacíficas en El Condado, Los Flamboyanes y la calle San Miguel. No hay videos debido a la mala calidad.",Estado cubano,NULL,NULL,https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
,12-07-2021,"Cerro, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Grupo de personas salen a protestar a las calles de noche. No se identifica la cantidad de personas ni lo que demandan.,Estado cubano,"""Abajo la dictadura""",Despliegue policial en las calles. La policía lanza piedras y dispara a los protestantes.,https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
,12-07-2021,Jenez y clazada Matanzas,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Grupo protesta; no se escucha lo que dicen.,NULL,NULL,Despliegue policial.,Mapeado: Manifestaciones #11J – julio 2021 - INVENTARIO (proyectoinventario.org)
P21-98,13-07-2021,"San Miguel del Padrón, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,No se identifica qué demandan.,Estado cubano,NULL,NULL,https://www.facebook.com/photo/?fbid=1444087495972419&set=a.148823912165457
P21-99,13-07-2021,Ciego de Ávila,Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Inventario reporta manifestación en el Parque Juanita y en los alrededores del hospital Ciego de Ávila, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
P21-100,12-11-2021/ 30-04-2022,La Habana,Boicot,Boicot,Boicot,Grupo de artistas,"Tania Bruguera, acompañada de Julio Llópiz-Casal y Alexis Romaes, son los promotores de la campaña #NoALaBienalDeLaHabana. En los últimos días, 128 destacados creadores de Europa, América, África y Asia se sumaron al pedido de boicot a la cita de las artes visuales, pues según su posición la Bienal no puede ser apoyada debido a las detenciones, arrestos domiciliarios y exilios forzados de creadores cubanos que han ocurrido recientemente. Esta campaña denuncia que los mismos organizadores oficialistas son los que se han negado a escuchar a los artistas cubanos y los reprimen.",Estado cubano,#NoALaBienalDeLaHabana,"El oficialismo, por su parte, respalda la convocatoria al evento de la Bienal de La Habana XIV y denuncia «los intentos baldíos de aquellos que, a partir de una burda e insidiosa manipulación política, atentan contra la realización de uno de los más fecundos encuentros de las artes visuales en el hemisferio occidental», recoge un comunicado publicado en la página web de la Unión de Escritores y Artistas (UNEAC). El director de la XIV Bienal de La Habana, Nelson Ramírez de Arellano, dijo que quienes piden boicotear tal evento intentan destruir “la posibilidad de que la vida se desarrolle de forma normal en nuestro país”. También acusó a quienes promueven el boicot a la Bienal de ser agentes de extrema derecha con la intención de ""eliminar"" la posibilidad de que se desarrolle la vida de forma normal en Cuba.",https://diariodecuba.com/cultura/1635766477_35224.html https://eltoque.com/artivismo-y-Performance-el-boicot-a-la-bienal-de-la-habana http://www.lajiribilla.cu/del-miedo-y-el-boicot-segun-tania-bruguera/  https://www.cibercuba.com/noticias/2021-11-03-u207888-e207888-s27068-boicot-bienal-habana-vida-normal-cuba
P21-101,15-11-2021,La Habana y otras 8 localidades de 6 provincias,Petición/Marcha pacífica,Petición,Marcha,Yunior García Aguilera/grupo de activistas,"En La Habana, Santa Clara, Holguín, Nuevitas, Cienfuegos, Guantánamo, Palma Soriano, Las Tunas y Pinar del Río (3) se entregaron peticiones para permiso de marchas pacíficas. La divulgación de las marchas y sus objetivos ocurrieron fundamentalmente dentro del grupo cerrado de Facebook «Archipiélago». Cada una de las cartas que informa sobre las marchas parten del reconocimiento en el artículo 56 de la Constitución del derecho de reunión, manifestación y asociación con fines lícitos y pacíficos. Además, los firmantes se amparan en la Declaración Universal de los Derechos Humanos que en su artículo 20 expone el derecho a la libertad de reunión y asociación pacíficas. Los propósitos de las marchas contra la violencia expuestos en cada una de las cartas incluyen: exigir el respeto por los derechos de todos los cubanos, la liberación de los presos políticos y la solución de “nuestras diferencias a través de vías democráticas y pacíficas”. Organizadores y firmantes manifiestan, además, la promoción del carácter pacífico y cívico de las marchas, con apego al orden público y las medidas sanitarias derivadas de la pandemia de Covid-19. Cada uno de los documentos solicita a las autoridades la garantía del ejercicio pleno de los derechos humanos y constitucionales, la protección de los manifestantes, el funcionamiento normal de las telecomunicaciones y la libre circulación de los ciudadanos que decidan asistir a las marchas. Además, abogan por el respeto al derecho de prensa: nacional, internacional, oficial o independiente para informar de forma adecuada y veraz sobre la organización y desarrollo de las manifestaciones. Tras ser reprimida la marcha del 15N, la plataforma opositora Archipiélago tomó la iniciativa de pedir que en algunas viviendas se colgaran sábanas blancas extendidas como respaldo a la marcha para demandar la liberación de los presos políticos y una solución de los problemas por la vía democrática y pacífica.",Gobiernos locales (provincia y municipios),"""Marcha Cívica por el Cambio"", ""Derecho a tener derechos""","El Estado cubano consideró “ilícita” la protesta y no la autorizó, al considerar que detrás se encuentra la “estrategia imperial” de Estados Unidos, como dijo la semana pasada el presidente Miguel Díaz-Canel. Los activistas de varias provincias fueron rodeados en sus hogares por policías uniformados, agentes de la Seguridad del Estado o partidarios con pancartas, en un despliegue de intimidación previo a la marcha. El domingo, un líder del movimiento, Yunior García Aguilera, había planeado marchar solo con una rosa blanca en la mano, pero los partidarios del gobierno le impidieron salir de su casa, según muestran los videos publicados en Facebook. En un momento dado, se asomó a través de las persianas de su apartamento, hasta que alguien en un piso superior bajó una enorme bandera cubana, obstaculizándole la vista. En contraste, edificios e instituciones oficiales llenaron sus fachadas con banderas cubanas. Frente a algunos ministerios, los funcionarios públicos celebraron actos de reafirmación.",https://proyectoinventario.org/marchas-cuba-20-15-noviembre/ https://www.nytimes.com/es/2021/11/15/espanol/protesta-cuba-que-paso.html  https://www.forbes.com.mx/fotogaleria-marcha-15n-silenciada-cuba-prometer-cambios/
,26-11-2021,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Derechos del consumidor. Decenas de cubanos se encontraban este jueves en las oficinas de las aerolíneas Copa y Conviasa, vendedoras de vuelos a Managua, Nicaragua, para protestar tras la información de que por el momento no habrá ventas de pasajes de avión.",Estado cubano,NULL,La situación fue aplacada por una patrulla de “boinas negras” que se presentó en las oficinas.,https://www.cubanet.org/noticias/protestas-en-la-habana-por-falta-de-pasajes-a-nicaragua/
