id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
P20-37,17-11-2020,La Habana Vieja,Performance,Performance,Performance,Artistas (Movimiento San Isidro),"LIBERTAD DE EXPRESIÓN. Exigir la liberación inmediata de Denis Solís González, preso injustamente por expresar sus ideas políticas. Es un gesto que surgió frente a la estación de policía de Cuba y Chacón. La convocatoria a un susurro poético tuvo la intención de leer textos de autores como Federico García Lorca, Nicanor Parra, Francisco de Quevedo, Dylan Thomas o Sor Juana Inés de la Cruz; y de autores cubanos como Rafael Alcides, Virgilio Piñera, Lezama Lima, Dulce María Loynaz, Grupo Diáspora(s), Omar Pérez, y muchos otros. Este gesto fue llevado a cabo en la sede del Movimiento San Isidro, sito en Damas 955 entre San Isidro y Avenida del Puerto.",Estado cubano.,#EstamosConectados #Cuba #TodosConDenis,"Antes de comenzar el susurro poético, ya la sede del Movimiento San Isidro se encontraba sitiada por policías vestidos de civil.",https://rialta.org/en-directo-represion-cuba-msi/. https://www.facebook.com/Mv.SanIsidro/posts/387403486007309 https://twitter.com/Mov_sanisidro/status/1328805735376052228,NULL
P20-38,18-11-2020 / 26-11-2020,La Habana Vieja,"Huelga de hambre, sed y silencio",Huelga,Huelga de hambre,"Artistas (Luis Manuel Otero Alcántara, líder del Movimiento San Isidro)","LIBERTAD DE EXPRESIÓN. Exigir la liberación de Denis Solís, las restricciones de la libertad de expresión, la eliminación de las tiendas MLC. Después de la declaración de huelga de Alcántara, también se suman Esteban Rodríguez, Maykel Castillo y Humberto Mena; y en huelga de hambre Iliana Hernández, Yasser Castellanos, Adrián Rubio, Oscar Casanella y Osmani Pardo.",Estado cubano,#EstamosConectados #Cuba #TodosConDenis,"La policía intercepta a una vecina, Daylys Bandera Rodríguez, y le retira los suministros de comida y dinero que traía a nuestra sede. Comienza el acoso policial a la madre de un huelguista. La Seguridad del Estado le corta la electricidad a la sede del movimiento y le arrojan ácido por la puerta y por la azotea. La Seguridad del Estado impide el acceso de personas a la cuadra de la sede del MSI. El 26 de noviembre la policía cubana desalojó la sede del movimiento y",https://rialta.org/en-directo-represion-cuba-msi/  https://elpais.com/internacional/2020-11-27/la-policia-cubana-desaloja-la-sede-del-movimiento-san-isidro-y-detiene-a-varios-integrantes.html,NULL
P20-39,22-11-2020,"Parque Central, La Habana Vieja",Manifestación/Concentración,Manifestación,Concentración,Artistas/intelectuales/grupo de personas convocadas por el Movimiento San Isidro,LIBERTAD DE EXPRESIÓN. Liberación de Denis Solís y contra el asedio a los huelguistas que cumplieron 72 horas sin alimento.,Estado cubano.,NULL,"La tarde del sábado, el cerco policial en las inmediaciones de la sede del Movimiento intentó impedir el acceso a la vivienda de la esposa e hija del reportero independiente Esteban Rodríguez, así como a la hija del rapero Maykel Castillo ""Osorbo"". Los agentes a cargo del asedio quisieron impedir que las mujeres bajaran de un bicitaxi, en el que transportaban agua para los activistas. Por otra parte, en el Parque Central hay un fuerte despliegue policial y “actos de repudio” como represión a los cubanos que responden al llamado del Movimiento San Isidro. Arrestan a periodistas y activistas independientes. Hacia los alrededores del parque fueron movilizados “cuadros” del Gobierno municipal y del Partido Comunista para impedir la acción y realizar un acto de repudio, con gritos, manotazos y consignas, muy similar a los ocurridos en los años 80. La prensa extranjera fue expulsada del lugar y un ciudadano que portaba un cartel en apoyo a los manifestantes de Damas 955, la sede del MSI, fue perseguido por oficiales policiales.",https://diariodecuba.com/derechos-humanos/1605985722_26649.html https://rialta.org/en-directo-represion-cuba-msi/,NULL
P20-40,27-11-2020,"Vedado, La Habana",Plantón,Plantón,Plantón,Artistas/intelectuales/pueblo (entre 300 y 600 personas),"LIBERTAD DE EXPRESIÓN. Denuncian y condenan la incapacidad de las instituciones gubernamentales en Cuba para dialogar y reconocer el disenso, la autonomía activista, el empoderamiento de las minorías y el respeto a los derechos humanos y ciudadanos. En solidaridad con nuestros hermanos del Movimiento San Isidro exigimos que la justicia no se ejerza a discreción. La Cuba de hoy exige que el gobierno elimine el odio político y cree sistemas reales y efectivos desde donde se escuchen las demandas de la ciudadanía, estableciendo garantías para un diálogo desprejuiciado y honesto que no tenga represalias para los que alzan su voz. Basta de arrestos arbitrarios, de causas creadas a conveniencia y de caprichos desde el poder, que hoy no ha sabido responder al pueblo sino a su propia supervivencia en el poder.",Estado cubano (Ministerio de Cultura),"Se está cantando, se está rapeando, se está tocando guitarra. Cada 15 minutos se aplaude para levantar el ánimo.","Comenzaron a realizar redadas en las zonas aledañas al Ministerio. La respuesta del gobierno a los acontecimientos del 27N fue, instantáneamente, una reacción de seguridad nacional, que en el área comunicativa se basó esencialmente en la criminalización y segmentación binaria de los implicados en “revolucionarios” y “contrarrevolucionarios”. 48 horas después comenzó a articularse una respuesta política gubernamental más abarcadora, consistente en movilizar a sectores juveniles revolucionarios y en el despliegue, en redes sociales, de una estrategia comunicacional dirigida a bloquear a toda costa el diálogo con los manifestantes. Durante la noche ocurrió un corte de electricidad, la policía rodeó las cercanías del lugar y lanzó gases lacrimógenos a algunas personas que trataban de sumarse a la protesta.",https://www.facebook.com/RialtaEdiciones/posts/1056854901496605  https://rialta.org/en-directo-represion-cuba-msi/  https://twitter.com/IsmarioRodrguez/status/1332447183006822402 https://www.bbc.com/mundo/noticias-america-latina-55096075 https://eltoque.com/negociacion-27-noviembre-en-el-ministerio-de-cultura-exclusiva-con-yunior-garcia,NULL
,27-11-2020,La Habana,Manifiesto/Comunicado,Manifiesto,Comunicado,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN, DERECHOS POLÍTICOS CONTRA LA VIOLENCIA ESTATAL. Articulación Plebeya. Al mismo tiempo que más de 200 personas se congregaban fuera del Ministerio de Cultura en La Habana para demandar respeto a la libertad de expresión, de creación y el derecho a disentir, un grupo de intelectuales cubanos decidieron expresar, a través de una declaración, su apoyo a esta oportunidad de diálogo que se abre como nunca antes.",Estado cubano,"Desde posiciones diversas, pero movidos por una demanda ética compartida de rechazo a toda acción estatal violenta: crear una referencia ética, política, humana, de justicia social, de inclusión, de democracia, de rechazo a todas las formas de discriminación, para posibilitar un ambiente de diálogo y reconciliación en Cuba y en todos los lugares del mundo donde vivan cubanos y cubanas. Por la realización plena de la República democrática, la legalidad, el Estado de derecho y los derechos humanos para todos y todas; por el respeto al pluralismo político; por la reconciliación con el medio ambiente y con la vida; por la paz y el bienestar humanos, pedimos: que se cumpla el cronograma legislativo violado y la disposición constitucional transitoria decimosegunda, y que se revise la constitucionalidad de todas las normas de inferior jerarquía que contradigan la constitución y el desarrollo de un modelo propio de Estado de derecho, sus derechos, libertades y garantías. Creemos indispensable crear puentes de diálogo, en un primer momento en la sociedad civil cubana, tal como vemos en esta experiencia espontánea y autónoma de organización en los exteriores del Ministerio de Cultura, para avanzar hacia el consenso con otros sujetos sociales.","DESCALIFICACIÓN, PERSECUCIÓN, PRESIONES",https://www.facebook.com/articulacion.plebeya/posts/pfbid0CZ5hPDJxt5gf2px7VwuoTMmwPodHp8LsUsZLzZWRH6dBNjc87A39JVDhfp6suHy3l,NULL
,28-12-2020,La Habana,Carta abierta,Carta abierta,Carta abierta,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN. Integrantes de la plataforma 27N pidieron al ministro de Cultura del régimen cubano, Alpidio Alonso Grau, y a su segundo, Fernando Rojas, frenar la “escalada de injusticias, violencia y odio contra quienes tienen un pensamiento político diferente”, en especial contra la comunidad de intelectuales y artistas. La misiva, firmada por más de 70 miembros de ese grupo, responde al cumplimiento del primer mes de la protesta pacífica frente al MINCULT, en La Habana, exigiendo el cese de la represión y la censura, y el respeto a la libertad de expresión y el derecho a existir de todos los cubanos.",Estado cubano (Ministerio de Cultura),NULL,NULL,https://www.cubanet.org/noticias/27n-dirige-carta-al-mincult/,NULL
,10-12-2020,La Habana,Manifiesto/Comunicado,Manifiesto,Comunicado,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN, DERECHOS POLÍTICOS CONTRA LA VIOLENCIA ESTATAL. Articulación Plebeya. Al mismo tiempo que más de 200 personas se congregaban fuera del Ministerio de Cultura en La Habana para demandar respeto a la libertad de expresión, de creación y el derecho a disentir, un grupo de intelectuales cubanos decidieron expresar, a través de una declaración, su apoyo a esta oportunidad de diálogo que se abre como nunca antes.",,"Segunda declaración de Articulación Plebeya: posibilidad de producir y acompañar un diálogo político necesario en Cuba y entre diferentes sectores sociales. Apoyamos un diálogo sostenido en ideas, argumentos, reflexiones y propuestas, a favor de la paz, la reconciliación entre cubanos y cubanas en todas las latitudes, y con la mirada puesta en el desarrollo espiritual y material de la nación. Creemos que la única vía hacia el socialismo democrático es la participación de todas las personas que se comprometan con el trabajo por el bienestar del pueblo, por la instauración de un robusto y seguro Estado de derecho, por la democracia como método, principio y objetivo perpetuo, por el respeto, protección y garantía de todos los derechos humanos para todas las personas.","DESCALIFICACIÓN, PERSECUCIÓN, PRESIONES",https://www.facebook.com/articulacion.plebeya/posts/pfbid0CphV8CEjdpToLdQdNSw5VarLxnwHgrdP1YuBDqcKTLv6fS18LvYMBa3c1uy3s9Etl,NULL
P20-42,12-2020,Sancti Spiritus,Huelga/Plantón laboral,Huelga,Plantón laboral,TPCP (comerciantes de carne de cerdo),"DERECHOS ECONÓMICOS CONTRA PRECIOS TOPADOS. Luego de 16 días de un plantón laboral de los cuentapropistas que comercializan la carne de cerdo en la ciudad de Sancti Spíritus, en reclamo a las autoridades de que eliminaran el precio topado de 30 pesos al demandado producto, el gobierno cedió. Desde el sábado, los emprendedores están vendiendo la carne porcina a 45 pesos.",Gobierno municipal,"Mientras esperan una respuesta del Estado, han decidido detener la venta de carne porcina, que es nula en los mercados estatales. En ninguna parte se puede comprar cerdo, eso es parte de lo que los cuentapropistas han acordado. Es decir, hacer un parón de venta y obligar al gobierno a tomar medidas en ese sentido.","DIÁLOGO Y AMENAZAS DE REPRESALIA. Se les prometió que serían escuchados, pero al parecer la reunión no dio resultado, y ellos se han puesto de acuerdo en que nadie va a vender en ninguna parte de Sancti Spíritus”, dijo Peña González. El martes, los vendedores del establecimiento La Plaza fueron visitados por funcionarios e inspectores y presionados para que reiniciaran el servicio con el mismo precio topado establecido, además de recibir amenazas con represalias si continuaban.",https://www.radiotelevisionmarti.com/a/vendedores-de-sancti-sp%C3%ADritus-se-plantan-no-habr%C3%A1-carne-de-cerdo-hasta-que-retiren-tope-al-precio/281337.html,Se satisfizo la demanda
,21-12-2020,La Habana,Petición,Petición,Petición,Artistas/intelectuales,"DERECHOS POLÍTICOS, LIBERTAD DE EXPRESIÓN. Un documento de Queja y Petición elaborado por los miembros de la Articulación Plebeya fue presentado de manera presencial este 21 de diciembre de 2020 ante autoridades cubanas con un respaldo de más de 400 signatarios.","Fiscalía, la Asamblea Nacional, el Minjus y el ICRT,","Los objetivos de la Queja se centran en los atentados contra la dignidad y el honor de las personas, las cuales se han vuelto prácticas de las autoridades y medios de comunicación en el archipiélago en los días recientes. Al amparo de las normas legales vigentes en Cuba y considerando que a los firmantes los «asisten principios y derechos reconocidos en el ordenamiento jurídico cubano», se expresa la preocupación «por las actuaciones de varios medios de comunicación estatales» tras el desalojo de los acuartelados en San Isidro y los sucesos del 27 de noviembre (27N).",NULL,https://eltoque.com/articulacion-plebeya-presenta-una-queja-y-peticion-ante-autoridades-cubanas-respaldada-por-mas-de-400-firmas,NULL
P20-43,06-01-2021,Holguín,Huelga,Huelga,Huelga,"TPCP (camioneros, motoristas y cocheros)",DERECHOS ECONÓMICOS CONTRA PRECIOS Y OTRAS MEDIDAS RESTRICTIVAS,Gobierno provincial,"Camioneros, motoristas y cocheros que operan en la piquera El Quijote, en la capital holguinera, ubicada frente al Hospital General Universitario Provincial “Vladimir Ilich Lenin”, protestaron este lunes. En señal de molestia dejaron de ofrecer sus servicios, en demanda de una mejora salarial, la eliminación de las tarifas de parqueo, así como el cese del hostigamiento por parte de los inspectores.","DIÁLOGO. En el lugar se personó René Rodríguez Morales, máximo dirigente del sector en la provincia, quien accedió al aumento del precio por pasaje de 7 a 10 pesos que reclamaban los camioneros.",https://www.radiotelevisionmarti.com/a/transportistas-privados-en-holgu%C3%ADn-logran-peque%C3%B1a-victoria-tras-protesta/282349.html,Se satisfizo la demanda
,08-01-2021,"Nueva Gerona, Isla de Pinos",Huelga,Huelga,Huelga,Trabajadores estatales,DERECHOS LABORALES (SALARIOS). Los pescadores se negaron a salir al mar pues “con la unificación monetaria les quitaron el pago en CUC sin compensar lo que recibían en esa moneda”.,Autoridades locales,NULL,El gobierno y el partido municipal y las fuerzas represivas del DSE (Departamento de la Seguridad del Estado) están tratando de doblegar a los pescadores que devolvieron las llaves de sus barcos.,https://www.cubanet.org/noticias/pescadores-estatales-protestan-en-isla-de-pinos-ante-nuevos-salarios/,NULL
,18-01-2021,"Bayamo, Granma",Huelga,Huelga,Huelga,TPCP (cocheros),DERECHOS ECONÓMICOS CONTRA IMPUESTOS Y PRECIOS. Cocheros protestan con huelga en Bayamo y se negaron a trabajar. En el día de hoy cientos de cocheros en Bayamo se alzaron en huelga y se negaron a trabajar. Llegaron sin sus coches a manifestar su descontento por el excesivo nuevo impuesto que el régimen les ha impuesto y la prohibición de subir el costo del transporte que brindan.,Autoridades locales,Cientos de cocheros en Bayamo se alzaron en huelga y negaron a trabajar. Llegaron sin sus coches a manifestar su descontento por el excesivo nuevo impuesto que el régimen les ha impuesto y la prohibición de subir el costo del transporte que brindan.,IGNORAR Y TOMAR MEDIDAS COMO PONER OTROS TRANSPORTES,https://cubacid.com/cocheros-protestan-con-huelga-en-bayamo-y-se-negaron-a-trabajar/,NULL
P21-02,27-01-2021,"Ministerio de Cultura, Vedado, La Habana",Plantón,Plantón,Plantón,Artistas/intelectuales (20),"Coincidiendo con la víspera del natalicio del Apóstol, integrantes del 27N se habían organizado para asistir al Parque 13 de Marzo para ""homenajear la figura del Apóstol, a la vez que renovar los reclamos por una sociedad más justa e inclusiva, cuando se cumplen dos meses de la parada pacífica frente al MINCULT"", para intentar hablar con el ministro sobre las detenciones y acoso de que habían sido víctimas varias personas en Cuba desde temprano en la mañana.",Estado cubano (Ministerio de Cultura),"""Nosotros somos artistas, no somos terroristas""","Miembros del 27N fueron alertados por la Seguridad del Estado de que estaban al corriente de la iniciativa organizada. El viceministro Fernando Rojas, por su parte, contactó a tres voceros del 27N para que acudiesen al MINCULT a retomar la negociación parada desde noviembre. La jornada del 27 comenzó con detenciones arbitrarias, vigilancias y arrestos domiciliarios a activistas y periodistas cubanos para impedirles que asistieran al homenaje a Martí. Por ello, varios integrantes del 27N acudieron al MINCULT para exigir ""liberaciones inmediatas"". Los jóvenes, a los que el viceministro Fernando Rojas pidió que marchasen, terminaron siendo víctimas de la represión en Cuba, golpeados in situ, vejados tras ser arrestados arbitrariamente y permaneciendo, algunos de ellos, varias horas en paradero desconocido. Los manifestantes fueron agredidos físicamente por el ministro del ramo, Alpidio Alonso, y sacados del lugar en un autobús en contra de su voluntad. “No somos delincuentes”, proferían algunos mientras eran obligados a subirse al vehículo.",https://www.cibercuba.com/tags/27ene,NULL
,03-02-2021,La Habana,Litigio/Petición de artistas,Litigio,Petición,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN.Integrantes del Grupo 27N entregaron ante la Asamblea Nacional del Poder Popular, con sede en el Capitolio de La Habana, un recurso legal “para iniciar el proceso de Revocación de Mandato del Diputado Alpidio Alonso Grau, actual Ministro de Cultura”. La petición fue presentada en la sede del Parlamento por las jóvenes Solveig Font y Carolina Barrero, en representación de 1 252 artistas, activistas e intelectuales. De acuerdo con un comunicado de prensa publicado en Facebook, se trata de “un giro sin precedente en la relación entre ciudadanía e instituciones públicas en la República de Cuba”. “El recurso legal, junto a las firmas recogidas hasta la fecha, se han puesto a disposición pública en la página de Facebook del 27N. Un gesto que apela a la voluntad de promover la transparencia en los procedimientos burocráticos y el diálogo con la institución”, señaló la agrupación en la red social.",Estado cubano,NULL,SIN RESPUESTA,https://www.cubanet.org/noticias/27n-presenta-recurso-ante-parlamento-para-destituir-a-alpidio-alonso/,NULL
P21-03,19-02-2021,La Habana,Plantón,Plantón,Plantón,Animalistas,"Reclamo por la sanción del Decreto-Ley sobre #BienestarAnimal planificado para este mes pero que continúa sin ser tratado por el Consejo de Estado. Entre las declaraciones se expresó: ""Nuestro objetivo único y primordial es JUSTICIA para los animales en Cuba, pero entendemos que no se puede llegar a esa JUSTICIA si en principio no existen leyes que la hagan valer, si no existe un compromiso de las instituciones para ayudar en la transformación que deseamos, si no existe la voluntad gubernamental de crear refugios de animales, eliminar los zoológicos y establecer pautas que permitan a los animales una vida digna. Protectores, activistas y la comunidad animalista en general, venimos esperando una Ley de protección animal desde hace mucho tiempo. Si bien nuestras solicitudes recientemente han sido atendidas con debates y encuentros entre funcionarios del Ministerio de Agricultura de Cuba y una representación de los animalistas cubanos para la conformación de la mencionada ley, debemos decir que dicha legislación se ha postergado más de lo esperado y lo prometido. Casi finaliza febrero y el decreto, pospuesto desde marzo de 2020, aún no ha sido aprobado.""",Estado cubano (Ministerio de Agricultura),"Estamos vestidos de negro porque estamos de luto, declaró Batista durante la protesta. Los manifestantes, que portaban carteles con la pregunta: “¿Dónde está la ley de bienestar animal?”, estuvieron parados frente a la sede del ministerio unos 15 minutos.","Luego de pasar un tiempo frente al edificio del Ministerio, los protestantes fueron recibidos por autoridades en una oficina. Al comenzar a presentar sus demandas y reclamos, varios de los activistas comenzaron transmisiones en vivo en redes sociales, pero las mismas fueron interrumpidas por las autoridades cuando tomaron conocimiento de que la conversación también estaba siendo seguida desde fuera del edificio. Tras momentos de tensión, que incluyeron la detención de un periodista independiente —quien se encontraba cubriendo la protesta pacífica—, los miembros del movimiento animalista dieron a conocer una declaración.",https://demoamlat.com/miembros-del-movimiento-animalista-independiente-cubano-protestan-frente-al-ministerio-de-agricultura/   https://www.14ymedio.com/cuba/animalistas_0_3043495630.html,NULL
,02-03-2021,"San Antonio de los Baños, Artemisa",Manifestación/Concentración,Manifestación,Concentración,TPCP (cooperativistas),Derechos TPCP (impago de salario). Tabacaleros de San Antonio de los Baños protestaban pacíficamente por impago de salarios ante las autoridades municipales.,Autoridades locales,NULL,Tropas especiales dispersaron las protestas.,https://www.radiotelevisionmarti.com/a/tropas-especiales-dispersan-protesta-de-tabacaleros-en-san-antonio-de-los-ba%C3%B1os/286956.html,NULL
P21-04,04-04-2021,"San Isidro, La Habana Vieja",Manifestación,Manifestación,Manifestación,Barrio de San Isidro y Movimiento San Isidro (Maikel Osorbo),"Grupo de personas se concentraron en el barrio de San Isidro para impedir la detención arbitraria y violenta de Maikel Osorbo por parte de las autoridades. Maykel Osorbo iba a ser detenido arbitrariamente y con violencia cerca de la sede del Movimiento San Isidro (MSI) y se rehusó. Este logró escapar, incluso con las esposas a medio poner en sus manos. El pueblo salió a las calles impidiendo el paso de las patrullas y escoltando a Osorbo para que este pudiera irse hasta la sede de MSI. Una vez en la sede, el pueblo también impidió la represión de los miembros del MSI.",Estado cubano y a la policía presente en las calles.,"Se cantó la canción ""Patria y Vida"", “Un Sueño” del Micha y otros temas de Los Aldeanos en contra de la dictadura, así como ""Diazka"" (Al2 y Silvito El Libre). También se gritaron consignas como: ""Díaz-Canel singao"", ""Patria y Vida"".","Alrededor de una veintena de uniformados del régimen y agentes de la Seguridad del Estado vestidos de civil, tras no poder arrestar a Maikel Osorbo, acosaron a los artistas y activistas Luis Manuel Otero Alcántara y Eliéxer Márquez ""El Funky"" en la sede del MSI.",https://www.bbc.com/mundo/noticias-america-latina-56610284. https://www.youtube.com/watch?v=IuZIJhtb4o8 https://www.cibercuba.com/noticias/2021-04-05-u185759-e185759-s27061-maykel-osorbo-soy-negro-aquel-canso-lo-azotaran https://adncuba.com/noticias-de-cuba/actualidad/maykel-osorbo-soy-un-cimarron-del-monte,NULL
,10-04-2021,La Habana,Carta abierta,Carta abierta,Carta abierta,Feministas,"CONTRA LA VIOLENCIA DE GÉNERO. Víctimas del trovador cubano Fernando Bécquer entregaron una carta abierta al ministro de Cultura de Cuba, Alpidio Alonso Grau, en la que se reclama justicia para todas las mujeres cubanas y de distintos países de América Latina que fueron abusadas sexualmente por el músico.",Estado cubano,NULL,El ministro respondió que si se comprueban las acusaciones sobre el trovador “va a caer todo el peso de la ley sobre él y que sus víctimas quedarán conformes”.,https://www.cubanet.org/noticias/victimas-de-fernando-becquer-entregan-carta-de-denuncia-al-ministro-alpidio-alonso/,NULL
,11-04-2021,La Habana,Carta abierta,Carta abierta,Carta abierta,LGBTI,"Los activistas que promueven la campaña “Todos los Derechos Para Todas Las Personas”, lanzada recientemente por el proyecto AfroAtenAs, enviaron esta semana una carta a Esteban Lazo Hernández, presidente de la Asamblea Nacional del Poder Popular, con varias solicitudes acerca del Código de las Familias.",Estado cubano (Parlamento),"La carta de los activistas solicita que la comisión parlamentaria tenga en cuenta varios puntos esenciales. Entre ellos se encuentran el reconocimiento al derecho constitucional de todas las personas a fundar una familia, así como garantizar el acceso al matrimonio, la unión de hecho, la adopción y las técnicas de reproducción asistida, sin distinción por orientación sexual, identidad de género u otra causa de discriminación. Por otra parte, sugieren “perfeccionar las instituciones de responsabilidad parental, ponderando el principio de socioafectividad por sobre la consanguinidad, de manera tal que no puedan privarse o suspenderse los vínculos filiatorios, limitarse las responsabilidades y la participación de padres, madres, familiares consanguíneos y afines, en la crianza y cuidado de las niñas, niños y adolescentes; tomando como base la orientación sexual, identidad de género u otra causal de discriminación”. Al contrario de la posición expresada por numerosos activistas y por influyentes organizaciones LGBTI internacionales, los firmantes de la carta apoyaron la idea de celebrar un debate ciudadano y un referendo para adoptar o descartar el matrimonio entre personas del mismo género. “Consideramos oportuno expresar nuestro respaldo al proceso de consulta popular al que se someterá el Código de las Familias pues permitirá abrir el diálogo en la sociedad cubana sobre los derechos sexuales y reproductivos, que son también derechos humanos”.",NULL,https://www.washingtonblade.com/2021/04/11/activistas-lgbtq-envian-una-carta-al-parlamento-cubano-sobre-el-codigo-de-las-familias/,NULL
,22-04-2021,La Habana,Carta abierta,Carta abierta,Carta abierta,Ambientalistas,"DERECHOS AMBIENTALES, contra tala indiscriminada","Estado cubano (Servicio Estatal Forestal,  Ministerio de Agricultura (MINAG), Ministerio de Ciencia, Tecnología y Medio Ambiente (CITMA), Asamblea Nacional de Cuba, Consejo de Estado, Consejo de Ministros)","Recogida de firmas para denunciar el fenómeno ante las autoridades del país. La carta es promovida por los grupos de Facebook ""Habana Verde"" y ""El Vedado de Siempre"" y ha sido dirigida a todas las instancias pertinentes, incluidos el Consejo de Estado y de Ministros.","RESPUESTA POSITIVA Y PROMESA DE RESOLVER. Para sorpresa de todos, las autoridades han reaccionado velozmente. Sendos acuses de recibo se comprueban ya en la página de Habana Verde, a pesar de que la iniciativa cuenta con solo algunos cientos de firmas. Planificación Física les escribe diciendo que ""es muy importante su preocupación"", y que consideran que ""está bien enviada su carta al CITMA"" y que se les atenderá como es debido.",https://www.facebook.com/groups/886417938406760/search/?q=carta%20tala,NULL
P21-05,30-04-2021,"Calle Obispo, La Habana Vieja",Manifestación,Manifestación,Manifestación,Artistas/intelectuales (13)/pueblo,"Grupo pequeño de personas demandan el fin de la represión, los derechos civiles de Luis Manuel Otero Alcántara y de todos los cubanos y denuncian el peligro que corre la vida de Otero, quien se encuentra en su sexto día de huelga de hambre y sed. Un día antes el MSI había llamado a manifestarse en apoyo al huelguista. La protesta tuvo lugar cerca de la una de la tarde en el bulevar de Obispo, esquina a Aguacate; se desató luego de la violencia de los uniformados contra varios activistas que decidieron manifestarse pacíficamente. Los activistas se negaron a ser arrestados, y ante la violencia ejercida por uno de los “segurosos” el pueblo se manifestó en apoyo a los demandantes. Los represores intentaron montar a algunos de los activistas en patrullas, pero el pueblo se interpuso. No obstante, fueron arrestados 13 de ellos.",Estado cubano,"Se gritaron consignas como: ""Patria y Vida"", ""Abajo la represión"", ""Abajo la tiranía"", ""Abajo el comunismo"", ""Cuba"". Un estudiante de Física llevó una pancarta que decía: ""Socialismo sí, ""Represión NO"", Derecho a tener Derechos"".","Varios agentes de policía y de la Seguridad del Estado trataban de contener a los activistas. La policía tomó distancia del abuso, dejándolo a cargo de dos agentes de la Seguridad del Estado, particularmente violentos con algunos de los manifestantes. Al cabo de varios intentos infructuosos de subirlos a las patrullas, los represores se vieron obligados a llamar refuerzos. Dos vehículos tipo van, varios carros patrulleros y policía motorizada llegaron al lugar para intentar concluir los arrestos y dispersar al gentío que hacía cola en la tienda “La Francia”, uno de los tantos comercios habilitados para vender en dólares, aumentando el malestar ciudadano ante una medida profundamente impopular.",https://www.cubanet.org/destacados/cubanos-se-enfrentan-a-la-policia-del-regimen-en-plena-calle-obispo/ https://www.youtube.com/watch?v=mqfyh4LaTwQ https://revistaelestornudo.com/protesta-obispo-arrestados-cuba/,NULL
P21-01,24-05-2021,La Habana,Carta abierta,Carta abierta,Carta abierta,Artistas/intelectuales ,"Veintena de artistas que el 24 de mayo entregaron una carta a Jorge Fernández Torres, director del Museo Nacional de Bellas Artes (MNBA), para exigir no exhibir públicamente sus obras o retirarlas del sitio web de la institución, en solidaridad con Luis Manuel Otero Alcántara.",Estado cubano (Ministerio de Cultura),Derechos políticos,RECHAZO,https://www.facebook.com/27Ncuba/posts/201910635101061 https://arbolinvertido.com/cultura/artistas-exigen-retirar-sus-obras-del-museo-de-bellas-artes-mientras-no-este-libre-otero,NULL
,28-06-2021,"Cerro, La Habana",Manifestación/Bloqueo,Manifestación,Bloqueo,Ciudadanos/pueblo,"Servicios (condiciones de vida). Residentes en la localidad sacaron muebles y refrigeradores a la calle por las constantes inundaciones, en protesta por las fuertes inundaciones que no han sido resueltas.",Estado cubano,"""No las pueden tocar. Eso es abuso"".",La policía llegó para disolver la protesta y retirar las pertenencias de la calle. Los policías forcejearon con los manifestantes.,https://diariodecuba.com/cuba/1624964478_32262.html,NULL
