id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P22-06,21-07-2022,"Caibarién, Villa Clara",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"“Pongan la corriente, pinga”, ""Díaz-Canel singao"".",Al poco tiempo de iniciar la protesta restablecieron el servicio eléctrico.,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-07,21-07-2022,"Australia, Jagüey Grande, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Los manifestantes caminaron varias calles del pueblo pidiendo el restablecimiento del servicio eléctrico.,Estado cubano,"""Libertad""",NULL,https://twitter.com/YannisEst/status/1550341444719837184?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1550341444719837184%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-08,22-07-2022,"La Marina, Campechuela, Granma",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://www.youtube.com/watch?v=KzBTy7KmaQ4
P22-09,22-07-2022,"Colón, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://www.youtube.com/watch?v=K89-2xTBqkk
P22-10,30-07-2022,"Cristina, Habana Vieja, La Habana",Bloqueo de vías,Bloqueo de vías,Bloqueo de vías,Ciudadanos/pueblo,"En la noche los albergados de La Lechera cierran la calle Cristina en La Habana, en protesta porque llevan una semana sin agua y gas para cocinar.",Estado cubano,NULL,NULL,https://twitter.com/Mi_Cuba_Libre/status/1553253373947912192
P22-11,30-07-2022,"Reparto Reina, Cienfuegos",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,NULL,NULL,https://twitter.com/MarioJPenton/status/1553581951029854209?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1553581951029854209%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-12,30-07-2022,"Australia, Jagüey Grande, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"""Libertad""",NULL,https://twitter.com/YannisEst/status/1550341444719837184? ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1550341444719837184%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-13,30-07-2022,"La Minita, Bauta, Artemisa",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,NULL,NULL,https://twitter.com/c40_gabriel/status/1553575753496788992?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1553575753496788992%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-14,30-07-2022,"Covadonga, Aguada de Pasajeros, Cienfuegos",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"En la localidad de Covadonga, durante la protesta por la falta de electricidad, los vecinos rompieron una valla con propaganda gubernamental y saquearon una tienda en MLC.",Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://twitter.com/123ElCambioEsY1/status/1553772044445179908?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1553772044445179908%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-15,30-07-2022,"Cumanayaguas, Cienfuegos",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://twitter.com/joseraul86/status/1553804765951311872?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1553804765951311872%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
